期別,統計值,樣本數,授信餘額(千元),授信額度(千元),鑑估值(千元),核貸成數(％)-算術平均數,核貸成數(%)-中位數,核貸成數(%)-加權平均,貸款利率(％),建物面積(平方公尺),鑑估成數(％),age_group,age_group_name,date_fmt,cnt,cnt_subsum,cnt_percentage,limit,limit_subsum,limit_percentage,min_age,median_age,max_age,cnt_l_age,cnt_m_age,cnt_u_age,barcolor
2009Q1,平均數,3813.0,4376.06268,4628.81563,6812.34828,70.09229,70.69,67.9474,1.95465,148.61115,94.17572,45_50,45~50歲,2009-01-01,3813.0,28816.0,0.1323223209328151,4628.81563,55740.85857,0.08304169954948006,45,47.5,50,171585.0,181117.5,190650.0,"rgb(208, 210, 212)"
2009Q2,平均數,4954.0,4871.69398,5070.59225,7418.27089,69.53906,71.43,68.3527,1.79082,160.54629,92.9943,45_50,45~50歲,2009-04-01,4954.0,40034.0,0.12374481690563022,5070.59225,57426.99555,0.08829631781076173,45,47.5,50,222930.0,235315.0,247700.0,"rgb(208, 210, 212)"
2009Q3,平均數,5284.0,5300.43982,5523.8679,7928.50643,70.14942,73.33,69.6709,1.75352,158.30252,93.16217,45_50,45~50歲,2009-07-01,5284.0,42993.0,0.12290372851394413,5523.8679,63309.84756,0.08725132207536783,45,47.5,50,237780.0,250990.0,264200.0,"rgb(208, 210, 212)"
2009Q4,平均數,4831.0,5601.1863,5887.39329,8244.72614,71.83372,74.9,71.4079,1.84363,159.40399,93.53873,45_50,45~50歲,2009-10-01,4831.0,38975.0,0.12395125080179602,5887.39329,69193.52551,0.08508589852310879,45,47.5,50,217395.0,229472.5,241550.0,"rgb(208, 210, 212)"
2010Q1,平均數,4570.0,5991.0849,6249.92341,8771.72298,72.11532,74.97,71.2508,1.83192,161.73817,93.16617,45_50,45~50歲,2010-01-01,4570.0,34565.0,0.13221466801677997,6249.92341,71195.47439,0.08778540298451687,45,47.5,50,205650.0,217075.0,228500.0,"rgb(208, 210, 212)"
2010Q2,平均數,5337.0,6149.96346,6478.43901,9155.60052,70.92524,73.97,70.7593,1.81414,163.94716,93.52155,45_50,45~50歲,2010-04-01,5337.0,40567.0,0.13156013508516776,6478.43901,73913.46928,0.0876489640265469,45,47.5,50,240165.0,253507.5,266850.0,"rgb(208, 210, 212)"
2010Q3,平均數,4629.0,5718.78138,6092.4582,8849.59732,69.771,71.89,68.8444,1.89076,164.43748,92.97998,45_50,45~50歲,2010-07-01,4629.0,38709.0,0.11958459273037278,6092.4582,75558.70212,0.08063211819499157,45,47.5,50,208305.0,219877.5,231450.0,"rgb(208, 210, 212)"
2010Q4,平均數,5553.0,5996.44552,6307.18368,9186.64596,69.78767,72.33,68.656,1.92831,163.55008,93.29364,45_50,45~50歲,2010-10-01,5553.0,44185.0,0.12567613443476292,6307.18368,80276.97611,0.07856777852914569,45,47.5,50,249885.0,263767.5,277650.0,"rgb(208, 210, 212)"
2011Q1,平均數,5169.0,6621.57748,6934.77114,9993.45792,70.47088,73.88,69.3931,1.98401,165.3499,92.64365,45_50,45~50歲,2011-01-01,5169.0,41225.0,0.12538508186779868,6934.77114,83014.20184,0.083537165765515,45,47.5,50,232605.0,245527.5,258450.0,"rgb(208, 210, 212)"
2011Q2,平均數,5028.0,6588.24642,6944.25756,10254.45446,68.56976,70.385,67.7194,2.02449,168.64192,93.90814,45_50,45~50歲,2011-04-01,5028.0,41783.0,0.12033602182705885,6944.25756,83379.73135,0.08328471977020828,45,47.5,50,226260.0,238830.0,251400.0,"rgb(208, 210, 212)"
2011Q3,平均數,4702.0,6504.11633,6914.07507,10271.28605,68.34939,70.0,67.3145,2.08,165.8866,93.91655,45_50,45~50歲,2011-07-01,4702.0,41320.0,0.1137947725072604,6914.07507,78362.84364,0.08823154889278083,45,47.5,50,211590.0,223345.0,235100.0,"rgb(208, 210, 212)"
2011Q4,平均數,4410.0,6303.26984,6650.68639,9916.02698,68.25628,70.0,67.07,2.10856,162.03473,93.40507,45_50,45~50歲,2011-10-01,4410.0,37031.0,0.11908941157408658,6650.68639,81015.8085,0.08209121791335329,45,47.5,50,198450.0,209475.0,220500.0,"rgb(208, 210, 212)"
2012Q1,平均數,3819.0,6437.63263,6870.67321,10338.22205,68.10886,70.07,66.4589,2.10743,168.82851,93.86619,45_50,45~50歲,2012-01-01,3819.0,32063.0,0.11910925365686305,6870.67321,73420.03717,0.09358035591961551,45,47.5,50,171855.0,181402.5,190950.0,"rgb(208, 210, 212)"
2012Q2,平均數,5084.0,6953.34933,7319.76967,10804.95456,68.62219,71.235,67.7445,2.06873,167.57915,94.13261,45_50,45~50歲,2012-04-01,5084.0,42237.0,0.12036839737670763,7319.76967,91849.98095,0.07969266399722645,45,47.5,50,228780.0,241490.0,254200.0,"rgb(208, 210, 212)"
2012Q3,平均數,4685.0,7025.85614,7287.64717,10877.91868,68.02924,70.0,66.9948,2.05946,170.11016,95.21935,45_50,45~50歲,2012-07-01,4685.0,39623.0,0.11823940640537062,7287.64717,86593.39309,0.08415939034085032,45,47.5,50,210825.0,222537.5,234250.0,"rgb(208, 210, 212)"
